batch_timestamp,machine,dataset,group,n_rows,n_train,n_test,n_features,k,algorithm,run,time_seconds,accuracy_pct
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,1,0.000595336,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,1,0.000440669,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,2,0.000400749,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,2,0.000307442,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,3,0.000358039,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,3,0.000292042,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,4,0.000354962,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,4,0.000291156,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,5,0.000371378,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,5,0.000366004,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,6,0.000341627,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,6,0.000265216,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,7,0.000112418,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,7,5.5601e-05,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,8,0.000875783,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,8,0.000561457,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,9,0.000811272,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,9,0.000833314,38.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,brute_simd,10,0.000732676,39.0
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_simd,10,0.000585912,38.0
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,1,0.01723655199930363,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,2,0.011067565000303148,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,3,0.009805618999962462,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,4,0.01099045000046317,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,5,0.009609867000108352,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,6,0.010354899999583722,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,7,0.009606653999981063,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,8,0.008699405999323062,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,9,0.010058586000013747,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_brute,10,0.009527877000437002,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,1,0.039167289000033634,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,2,0.03876631599996472,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,3,0.0389950079998016,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,4,0.03986108899971441,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,5,0.03921311300018715,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,6,0.03829436999967584,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,7,0.039315659999374475,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,8,0.03925834900019254,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,9,0.03895889500017802,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,sklearn_kdtree,10,0.03870258099959756,44.9
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_build,0,0.01113471,
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,1,0.013596191,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,1,0.002555773,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,2,0.012875707,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,2,0.003462365,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,3,0.016639597,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,3,0.002375386,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,4,0.01793455,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,4,0.002409475,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,5,0.017608776,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,5,0.002232363,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,6,0.017306944,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,6,0.00232751,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,7,0.015503465,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,7,0.002400598,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,8,0.015993592,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,8,0.002366666,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,9,0.015196177,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,9,0.002750548,44.55
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,brute_simd,10,0.018335474,43.75
20260327_113737,ECS-CSH-308-18,aapl_10k,aapl_scaling,10000,8000,2000,16,5,kdtree_simd,10,0.002337777,44.55
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,1,0.34615384800054017,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,2,0.33239700400008587,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,3,0.3429876299996977,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,4,0.3568089870004769,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,5,0.3667851560003328,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,6,0.34442527500050346,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,7,0.3335501439996733,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,8,0.32897077500001615,44.425
